"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Khalil Herbert","IND","71.2","305.6","2.1","8.6","55.9","0.2","0.0","49.8"
"Samaje Perine","CIN","39.3","163.0","1.2","19.4","181.2","1.0","0.7","46.5"
"Jarquez Hunter","LAR","57.1","262.0","1.9","8.5","68.7","0.4","0.4","46.2"
"Keaton Mitchell","BAL","64.7","268.2","1.4","8.5","79.6","0.5","0.0","45.9"
"Antonio Gibson","NE","51.5","209.5","1.0","16.5","131.3","0.8","0.0","44.3"
"Elijah Mitchell","KC","62.5","243.0","1.9","9.4","55.5","0.5","0.1","43.8"
"Trevor Etienne","CAR","49.8","206.4","1.5","11.4","93.1","0.7","0.7","41.8"
"A.J. Dillon","PHI","50.3","222.0","1.8","5.5","43.8","0.1","0.0","38.4"
"Jaleel McLaughlin","DEN","30.5","135.2","0.8","20.9","131.0","1.2","0.5","37.7"
"Woody Marks","HOU","36.7","162.9","1.0","14.5","106.0","0.8","0.1","37.3"
"Will Shipley","PHI","37.4","199.5","1.3","7.5","55.1","0.4","0.1","35.6"
"Devin Neal","NO","39.1","196.9","1.3","6.8","49.9","0.4","0.0","34.6"
"Alexander Mattison","MIA","53.2","204.8","1.2","7.9","53.1","0.2","0.0","34.2"
"Kenneth Gainwell","PIT","52.3","180.5","1.2","10.0","70.2","0.4","0.4","33.8"
"Zamir White","LV","56.1","190.3","1.1","8.7","61.6","0.3","0.0","33.5"
"Kyle Monangai","CHI","33.4","197.6","1.4","5.4","39.3","0.0","0.0","32.3"
"Sean Tucker","TB","33.7","184.5","1.2","6.9","52.7","0.2","0.7","30.8"
"Emanuel Wilson","GB","33.4","174.5","1.2","6.4","45.7","0.2","0.0","30.1"
"Audric Estime","DEN","45.5","168.3","1.2","7.1","49.7","0.2","0.4","29.5"
"Isaiah Davis","NYJ","28.3","173.6","1.1","6.3","45.7","0.1","0.0","29.1"
"Jordan James","SF","26.9","169.8","1.3","4.0","34.9","0.0","0.0","28.1"
"DJ Giddens","IND","24.6","157.7","1.2","5.8","44.6","0.1","0.0","27.6"
"Tahj Brooks","CIN","7.1","151.9","1.1","6.2","45.2","0.1","0.0","26.7"
"Jacory Croskey-Merritt","WAS","26.4","151.6","1.2","4.4","32.7","0.1","0.0","26.0"
"Kye Robichaux","DET","36.0","172.0","1.0","3.0","28.0","0.0","0.0","26.0"
"Brashard Smith","KC","9.7","107.0","0.7","9.9","72.3","0.7","0.0","25.7"
"Amar Johnson","GB","35.0","165.0","1.0","2.0","26.0","0.0","0.0","25.1"
"Kyle Juszczyk","SF","6.7","27.2","0.4","14.6","140.6","1.1","0.4","24.7"
"Dameon Pierce","HOU","14.8","109.8","0.9","11.4","76.4","0.4","1.0","24.6"
"Ollie Gordon II","MIA","34.2","144.6","1.1","3.9","28.9","0.1","0.4","23.3"
"Emari Demercado","ARI","18.7","122.0","0.7","9.1","61.8","0.1","0.0","23.0"
"Cam Akers","NO","36.1","133.5","1.0","3.7","27.1","0.1","0.0","22.7"
"Chris Brooks","GB","24.1","112.9","0.8","4.7","29.8","0.0","0.0","19.3"
"Tyler Goodson","IND","17.0","87.7","0.7","6.0","39.3","0.3","0.0","18.7"
"Clyde Edwards-Helaire","NO","35.2","108.5","0.5","4.3","32.0","0.2","0.1","18.3"
