"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Jack Bech","LV","49.5","618.4","3.3","1.0","2.7","0.0","0.8","80.3"
"Joshua Palmer","BUF","42.5","579.9","3.5","0.0","0.5","0.0","0.1","79.0"
"Kyle Williams","NE","43.9","576.4","3.4","2.1","8.7","0.0","0.4","78.1"
"Michael Wilson","ARI","44.7","547.4","3.8","1.9","7.7","0.1","0.5","77.8"
"Tyler Lockett","TEN","48.9","570.2","3.5","0.0","0.0","0.0","0.1","77.7"
"Alec Pierce","IND","31.2","558.8","3.6","0.0","0.0","0.0","0.1","77.0"
"Calvin Austin III","PIT","39.4","539.3","3.6","2.3","11.8","0.1","0.5","76.2"
"DeMario Douglas","NE","54.6","574.9","2.8","2.1","15.7","0.0","0.2","75.7"
"Jalen McMillan","TB","38.2","482.4","4.3","2.3","20.4","0.0","0.5","75.3"
"Darius Slayton","NYG","34.2","517.5","2.5","1.4","6.1","0.0","0.2","67.2"
"DeAndre Hopkins","BAL","33.1","425.2","3.9","0.0","0.5","0.0","0.1","65.7"
"Tre Tucker","LV","34.8","445.0","2.6","5.6","33.8","0.3","0.1","65.6"
"Marquez Valdes-Scantling","SEA","28.1","468.4","2.8","2.6","9.1","0.1","0.1","65.0"
"Tutu Atwell","LAR","38.4","490.3","2.2","4.3","20.2","0.1","0.1","64.8"
"Dyami Brown","JAC","38.0","491.4","2.6","0.7","5.8","0.0","0.5","64.2"
"Nick Westbrook-Ikhine","MIA","30.5","418.7","3.7","0.0","0.0","0.0","0.1","63.7"
"Jalen Tolbert","DAL","34.4","416.2","3.5","0.0","0.0","0.0","0.1","62.7"
"Allen Lazard","NYJ","33.9","439.1","3.0","0.0","0.0","0.0","0.1","62.0"
"Jalen Coker","CAR","37.1","477.5","2.3","0.0","2.3","0.0","0.1","61.7"
"Diontae Johnson","CLE","39.1","477.1","2.3","1.0","2.0","0.0","0.5","61.1"
"Ray-Ray McCloud III","ATL","39.6","427.7","2.3","7.8","53.1","0.2","1.2","60.4"
"Brandin Cooks","NO","36.9","427.7","2.9","1.7","3.8","0.0","0.1","60.4"
"Skyy Moore","KC","36.3","422.5","2.7","0.0","0.0","0.0","0.0","58.3"
"Andrei Iosivas","CIN","30.5","364.8","3.4","0.0","0.0","0.0","0.1","56.9"
"Dontayvion Wicks","GB","29.9","375.0","3.2","0.0","0.0","0.0","0.0","56.9"
"Josh Reynolds","NYJ","30.9","404.2","2.8","0.0","0.0","0.0","0.1","56.8"
"Christian Watson","GB","21.3","392.6","2.6","4.3","18.7","0.0","0.4","56.4"
"Jordan Whittington","LAR","33.8","392.5","2.5","1.1","13.9","0.0","0.1","55.4"
"Jalen Nailor","MIN","28.9","364.5","2.9","1.1","10.2","0.0","0.1","55.1"
"Pat Bryant","DEN","30.7","375.5","2.6","0.0","0.0","0.0","0.1","52.7"
"Adonai Mitchell","IND","25.7","362.9","2.3","2.5","14.9","0.1","0.2","51.6"
"Russell Gage Jr.","SF","31.6","364.8","2.5","0.0","0.0","0.0","0.0","51.5"
"Noah Brown","WAS","31.4","399.7","1.9","0.0","0.0","0.0","0.1","51.2"
"Troy Franklin","DEN","27.2","343.0","2.7","1.1","5.8","0.0","0.1","51.0"
"Dont'e Thornton Jr.","LV","28.1","367.3","2.3","0.0","8.0","0.0","0.1","50.9"
"Jaylin Noel","HOU","29.7","357.9","2.3","0.0","0.0","0.0","0.1","49.4"
"Kyle Philips","LV","32.2","375.4","2.0","0.0","0.0","0.0","0.0","49.2"
"Demarcus Robinson","SF","21.4","333.8","2.6","0.0","1.3","0.0","0.1","48.7"
"Curtis Samuel","BUF","29.5","297.3","2.5","6.6","29.3","0.1","0.1","48.0"
"Elic Ayomanor","TEN","28.6","336.2","2.2","0.0","7.5","0.0","0.1","47.5"
"K.J. Osborn","WAS","28.4","315.6","2.5","0.0","0.0","0.0","0.0","46.3"
