autoDraftTypeId,id,lineupSlotId,overallPickNumber,player_id,roundId,roundPickNumber,team_id,year,league_id
0,1,0,1,3916387,1,1,11,2020,780575
0,2,2,2,3929630,1,2,1,2020,780575
0,3,2,3,3051392,1,3,9,2020,780575
0,4,2,4,3117251,1,4,3,2020,780575
0,5,2,5,4242214,1,5,14,2020,780575
0,6,0,6,3139477,1,6,13,2020,780575
0,7,2,7,3043078,1,7,15,2020,780575
0,8,2,8,3054850,1,8,8,2020,780575
0,9,4,9,2976316,1,9,6,2020,780575
0,10,2,10,4045163,1,10,10,2020,780575
1,11,2,11,3116593,1,11,12,2020,780575
0,12,0,12,2330,1,12,4,2020,780575
0,13,2,13,3128720,2,1,4,2020,780575
1,14,2,14,4047365,2,2,12,2020,780575
0,15,2,15,3068267,2,3,10,2020,780575
0,16,2,16,3919596,2,4,6,2020,780575
0,17,2,17,2979843,2,5,8,2020,780575
0,18,2,18,3042519,2,6,15,2020,780575
0,19,4,19,13982,2,7,13,2020,780575
0,20,6,20,15847,2,8,14,2020,780575
0,21,4,21,3116406,2,9,3,2020,780575
0,22,4,22,16800,2,10,9,2020,780575
0,23,6,23,3040151,2,11,1,2020,780575
0,24,4,24,16460,2,12,11,2020,780575
0,25,4,25,2976499,3,1,11,2020,780575
0,26,0,26,2573079,3,2,1,2020,780575
0,27,2,27,3116385,3,3,9,2020,780575
0,28,0,28,3122840,3,4,3,2020,780575
0,29,4,29,15795,3,5,14,2020,780575
0,30,6,30,3116365,3,6,13,2020,780575
0,31,6,31,15835,3,7,15,2020,780575
0,32,4,32,16737,3,8,8,2020,780575
0,33,4,33,16733,3,9,6,2020,780575
0,34,0,34,3917315,3,10,10,2020,780575
1,35,4,35,3925357,3,11,12,2020,780575
0,36,4,36,3116165,3,12,4,2020,780575
0,37,6,37,13229,4,1,4,2020,780575
1,38,4,38,3120348,4,2,12,2020,780575
0,39,4,39,15818,4,3,10,2020,780575
0,40,0,40,2577417,4,4,6,2020,780575
0,41,4,41,2974858,4,5,8,2020,780575
0,42,0,42,14881,4,6,15,2020,780575
0,43,4,43,3915416,4,7,13,2020,780575
0,44,4,44,16799,4,8,14,2020,780575
0,45,2,45,2508176,4,9,3,2020,780575
0,46,0,46,2580,4,10,9,2020,780575
0,47,4,47,2977187,4,11,1,2020,780575
0,48,6,48,2576925,4,12,11,2020,780575
