autoDraftTypeId,id,lineupSlotId,overallPickNumber,player_id,roundId,roundPickNumber,team_id,year,league_id
0,115,20,115,4372485,10,7,10,2023,780575
0,116,20,116,14880,10,8,11,2023,780575
0,117,16,117,-16018,10,9,13,2023,780575
0,118,20,118,3925347,10,10,4,2023,780575
0,119,20,119,4429025,10,11,6,2023,780575
0,120,6,120,3117256,10,12,12,2023,780575
0,121,20,121,4429084,11,1,12,2023,780575
0,122,20,122,3116389,11,2,6,2023,780575
0,123,20,123,3046779,11,3,4,2023,780575
0,124,20,124,4567156,11,4,13,2023,780575
0,125,20,125,4241555,11,5,11,2023,780575
0,126,20,126,14881,11,6,10,2023,780575
0,127,20,127,4385690,11,7,15,2023,780575
0,128,20,128,4360635,11,8,14,2023,780575
0,129,20,129,4426385,11,9,1,2023,780575
3,130,20,130,3917792,11,10,9,2023,780575
0,131,20,131,2573401,11,11,3,2023,780575
3,132,20,132,3916433,11,12,8,2023,780575
3,133,20,133,3120348,12,1,8,2023,780575
0,134,20,134,4241464,12,2,3,2023,780575
3,135,20,135,3115394,12,3,9,2023,780575
0,136,20,136,3910544,12,4,1,2023,780575
0,137,17,137,3051909,12,5,14,2023,780575
0,138,20,138,4258173,12,6,15,2023,780575
0,139,17,139,3050478,12,7,10,2023,780575
0,140,17,140,4360234,12,8,11,2023,780575
0,141,20,141,4240600,12,9,13,2023,780575
0,142,20,142,4373626,12,10,4,2023,780575
0,143,17,143,3055899,12,11,6,2023,780575
0,144,17,144,2473037,12,12,12,2023,780575
0,145,16,145,-16006,13,1,12,2023,780575
0,146,20,146,4036348,13,2,6,2023,780575
0,147,20,147,16460,13,3,4,2023,780575
0,148,20,148,12483,13,4,13,2023,780575
0,149,20,149,4240703,13,5,11,2023,780575
2,150,16,150,-16026,13,6,10,2023,780575
0,151,17,151,12460,13,7,15,2023,780575
0,152,20,152,3917315,13,8,14,2023,780575
0,153,16,153,-16028,13,9,1,2023,780575
3,154,20,154,4040655,13,10,9,2023,780575
0,155,17,155,3917232,13,11,3,2023,780575
0,156,20,156,4040761,13,12,8,2023,780575
0,157,17,157,3049899,14,1,8,2023,780575
0,158,20,158,16782,14,2,3,2023,780575
3,159,16,159,-16015,14,3,9,2023,780575
0,160,17,160,4362081,14,4,1,2023,780575
0,161,16,161,-16033,14,5,14,2023,780575
