autoDraftTypeId,id,lineupSlotId,memberId,overallPickNumber,player_id,roundId,roundPickNumber,team_id,year,league_id
0,67,6,{REDACTED-ESPN-MEMBER-ID},67,4036131,6,7,8,2021,780575
0,68,20,{REDACTED-ESPN-MEMBER-ID},68,2576414,6,8,10,2021,780575
0,69,0,{REDACTED-ESPN-MEMBER-ID},69,14881,6,9,13,2021,780575
0,70,6,{REDACTED-ESPN-MEMBER-ID},70,15835,6,10,4,2021,780575
0,71,20,{REDACTED-ESPN-MEMBER-ID},71,4040715,6,11,1,2021,780575
0,72,2,{REDACTED-ESPN-MEMBER-ID},72,3925347,6,12,3,2021,780575
0,73,20,{REDACTED-ESPN-MEMBER-ID},73,3115364,7,1,3,2021,780575
0,74,20,{REDACTED-ESPN-MEMBER-ID},74,4362628,7,2,1,2021,780575
0,75,20,{REDACTED-ESPN-MEMBER-ID},75,3128721,7,3,4,2021,780575
0,76,20,{REDACTED-ESPN-MEMBER-ID},76,4039359,7,4,13,2021,780575
0,77,20,{REDACTED-ESPN-MEMBER-ID},77,2574808,7,5,10,2021,780575
0,78,0,{REDACTED-ESPN-MEMBER-ID},78,14876,7,6,8,2021,780575
0,79,20,{REDACTED-ESPN-MEMBER-ID},79,3054212,7,7,15,2021,780575
3,80,20,,80,16733,7,8,11,2021,780575
0,81,0,{REDACTED-ESPN-MEMBER-ID},81,12483,7,9,12,2021,780575
3,82,20,,82,4259545,7,10,9,2021,780575
0,83,20,{REDACTED-ESPN-MEMBER-ID},83,3119195,7,11,6,2021,780575
0,84,20,{REDACTED-ESPN-MEMBER-ID},84,3932905,7,12,14,2021,780575
0,85,20,{REDACTED-ESPN-MEMBER-ID},85,3042778,8,1,14,2021,780575
0,86,20,{REDACTED-ESPN-MEMBER-ID},86,4036348,8,2,6,2021,780575
3,87,20,,87,4360438,8,3,9,2021,780575
0,88,20,{REDACTED-ESPN-MEMBER-ID},88,16731,8,4,12,2021,780575
3,89,20,,89,2974858,8,5,11,2021,780575
3,90,16,,90,-16027,8,6,15,2021,780575
0,91,20,{REDACTED-ESPN-MEMBER-ID},91,3886818,8,7,8,2021,780575
0,92,6,{REDACTED-ESPN-MEMBER-ID},92,3121023,8,8,10,2021,780575
0,93,20,{REDACTED-ESPN-MEMBER-ID},93,3916430,8,9,13,2021,780575
0,94,20,{REDACTED-ESPN-MEMBER-ID},94,3916433,8,10,4,2021,780575
0,95,20,{REDACTED-ESPN-MEMBER-ID},95,4243160,8,11,1,2021,780575
0,96,20,{REDACTED-ESPN-MEMBER-ID},96,2576434,8,12,3,2021,780575
0,97,20,{REDACTED-ESPN-MEMBER-ID},97,3115394,9,1,3,2021,780575
0,98,6,{REDACTED-ESPN-MEMBER-ID},98,3116164,9,2,1,2021,780575
0,99,20,{REDACTED-ESPN-MEMBER-ID},99,3915511,9,3,4,2021,780575
0,100,20,{REDACTED-ESPN-MEMBER-ID},100,3128429,9,4,13,2021,780575
0,101,20,{REDACTED-ESPN-MEMBER-ID},101,3051439,9,5,10,2021,780575
0,102,20,{REDACTED-ESPN-MEMBER-ID},102,4241372,9,6,8,2021,780575
3,103,20,,103,4241479,9,7,15,2021,780575
3,104,20,,104,3052876,9,8,11,2021,780575
0,105,20,{REDACTED-ESPN-MEMBER-ID},105,4040761,9,9,12,2021,780575
3,106,20,,106,15072,9,10,9,2021,780575
0,107,20,{REDACTED-ESPN-MEMBER-ID},107,3126486,9,11,6,2021,780575
0,108,20,{REDACTED-ESPN-MEMBER-ID},108,4035676,9,12,14,2021,780575
0,109,20,{REDACTED-ESPN-MEMBER-ID},109,4239934,10,1,14,2021,780575
0,110,20,{REDACTED-ESPN-MEMBER-ID},110,2979843,10,2,6,2021,780575
3,111,20,,111,3045144,10,3,9,2021,780575
0,112,20,{REDACTED-ESPN-MEMBER-ID},112,4372016,10,4,12,2021,780575
3,113,20,,113,3045138,10,5,11,2021,780575
3,114,20,,114,2976316,10,6,15,2021,780575
0,115,20,{REDACTED-ESPN-MEMBER-ID},115,3912550,10,7,8,2021,780575
0,116,20,{REDACTED-ESPN-MEMBER-ID},116,3052587,10,8,10,2021,780575
0,117,20,{REDACTED-ESPN-MEMBER-ID},117,13934,10,9,13,2021,780575
0,118,20,{REDACTED-ESPN-MEMBER-ID},118,4569173,10,10,4,2021,780575
0,119,20,{REDACTED-ESPN-MEMBER-ID},119,2576623,10,11,1,2021,780575
0,120,20,{REDACTED-ESPN-MEMBER-ID},120,13981,10,12,3,2021,780575
0,121,20,{REDACTED-ESPN-MEMBER-ID},121,16790,11,1,3,2021,780575
0,122,20,{REDACTED-ESPN-MEMBER-ID},122,4241401,11,2,1,2021,780575
0,123,20,{REDACTED-ESPN-MEMBER-ID},123,2573401,11,3,4,2021,780575
0,124,20,{REDACTED-ESPN-MEMBER-ID},124,4360310,11,4,13,2021,780575
0,125,16,{REDACTED-ESPN-MEMBER-ID},125,-16021,11,5,10,2021,780575
0,126,20,{REDACTED-ESPN-MEMBER-ID},126,4241475,11,6,8,2021,780575
0,127,20,{REDACTED-ESPN-MEMBER-ID},127,2980453,11,7,15,2021,780575
3,128,20,,128,3121427,11,8,11,2021,780575
0,129,20,{REDACTED-ESPN-MEMBER-ID},129,16913,11,9,12,2021,780575
3,130,20,,130,2975674,11,10,9,2021,780575
0,131,16,{REDACTED-ESPN-MEMBER-ID},131,-16033,11,11,6,2021,780575
0,132,20,{REDACTED-ESPN-MEMBER-ID},132,3046439,11,12,14,2021,780575
0,133,20,{REDACTED-ESPN-MEMBER-ID},133,4241802,12,1,14,2021,780575
0,134,20,{REDACTED-ESPN-MEMBER-ID},134,4035004,12,2,6,2021,780575
3,135,20,,135,4240657,12,3,9,2021,780575
0,136,20,{REDACTED-ESPN-MEMBER-ID},136,3115378,12,4,12,2021,780575
3,137,20,,137,4035687,12,5,11,2021,780575
0,138,20,{REDACTED-ESPN-MEMBER-ID},138,2508176,12,6,15,2021,780575
0,139,20,{REDACTED-ESPN-MEMBER-ID},139,4362887,12,7,8,2021,780575
0,140,20,{REDACTED-ESPN-MEMBER-ID},140,2573079,12,8,10,2021,780575
0,141,20,{REDACTED-ESPN-MEMBER-ID},141,3043275,12,9,13,2021,780575
0,142,20,{REDACTED-ESPN-MEMBER-ID},142,13295,12,10,4,2021,780575
0,143,17,{REDACTED-ESPN-MEMBER-ID},143,3055899,12,11,1,2021,780575
0,144,20,{REDACTED-ESPN-MEMBER-ID},144,4241464,12,12,3,2021,780575
0,145,20,{REDACTED-ESPN-MEMBER-ID},145,3051738,13,1,3,2021,780575
0,146,20,{REDACTED-ESPN-MEMBER-ID},146,16777,13,2,1,2021,780575
0,147,17,{REDACTED-ESPN-MEMBER-ID},147,14993,13,3,4,2021,780575
0,148,16,{REDACTED-ESPN-MEMBER-ID},148,-16023,13,4,13,2021,780575
1,149,20,,149,15349,13,5,10,2021,780575
0,150,20,{REDACTED-ESPN-MEMBER-ID},150,12537,13,6,8,2021,780575
3,151,20,,151,4035170,13,7,15,2021,780575
3,152,0,,152,11237,13,8,11,2021,780575
0,153,16,{REDACTED-ESPN-MEMBER-ID},153,-16028,13,9,12,2021,780575
3,154,20,,154,3052117,13,10,9,2021,780575
0,155,17,{REDACTED-ESPN-MEMBER-ID},155,12460,13,11,6,2021,780575
0,156,20,{REDACTED-ESPN-MEMBER-ID},156,4383351,13,12,14,2021,780575
0,157,17,{REDACTED-ESPN-MEMBER-ID},157,15683,14,1,14,2021,780575
0,158,20,{REDACTED-ESPN-MEMBER-ID},158,4048244,14,2,6,2021,780575
3,159,16,,159,-16025,14,3,9,2021,780575
0,160,17,{REDACTED-ESPN-MEMBER-ID},160,2473037,14,4,12,2021,780575
3,161,16,,161,-16002,14,5,11,2021,780575
3,162,17,,162,3127313,14,6,15,2021,780575
0,163,16,{REDACTED-ESPN-MEMBER-ID},163,-16007,14,7,8,2021,780575
1,164,20,,164,2587819,14,8,10,2021,780575
0,165,17,{REDACTED-ESPN-MEMBER-ID},165,3124679,14,9,13,2021,780575
0,166,16,{REDACTED-ESPN-MEMBER-ID},166,-16017,14,10,4,2021,780575
0,167,16,{REDACTED-ESPN-MEMBER-ID},167,-16014,14,11,1,2021,780575
0,168,16,{REDACTED-ESPN-MEMBER-ID},168,-16018,14,12,3,2021,780575
0,169,17,{REDACTED-ESPN-MEMBER-ID},169,16339,15,1,3,2021,780575
0,170,20,{REDACTED-ESPN-MEMBER-ID},170,11283,15,2,1,2021,780575
0,171,20,{REDACTED-ESPN-MEMBER-ID},171,3046779,15,3,4,2021,780575
0,172,20,{REDACTED-ESPN-MEMBER-ID},172,-16015,15,4,13,2021,780575
1,173,17,,173,3049899,15,5,10,2021,780575
0,174,17,{REDACTED-ESPN-MEMBER-ID},174,4249087,15,6,8,2021,780575
0,175,20,{REDACTED-ESPN-MEMBER-ID},175,16732,15,7,15,2021,780575
3,176,17,,176,3917232,15,8,11,2021,780575
0,177,20,{REDACTED-ESPN-MEMBER-ID},177,14880,15,9,12,2021,780575
3,178,17,,178,2998120,15,10,9,2021,780575
0,179,20,{REDACTED-ESPN-MEMBER-ID},179,2971618,15,11,6,2021,780575
3,180,16,,180,-16016,15,12,14,2021,780575
