autoDraftTypeId,id,lineupSlotId,memberId,overallPickNumber,player_id,roundId,roundPickNumber,team_id,year,league_id
0,1,2,{REDACTED-ESPN-MEMBER-ID},1,3117251,1,1,3,2021,780575
0,2,2,{REDACTED-ESPN-MEMBER-ID},2,3054850,1,2,1,2021,780575
0,3,2,{REDACTED-ESPN-MEMBER-ID},3,3116593,1,3,4,2021,780575
0,4,6,{REDACTED-ESPN-MEMBER-ID},4,15847,1,4,13,2021,780575
0,5,2,{REDACTED-ESPN-MEMBER-ID},5,3043078,1,5,10,2021,780575
3,6,2,,6,3929630,1,6,8,2021,780575
0,7,2,{REDACTED-ESPN-MEMBER-ID},7,3128720,1,7,15,2021,780575
3,8,4,,8,16800,1,8,11,2021,780575
0,9,4,{REDACTED-ESPN-MEMBER-ID},9,2976212,1,9,12,2021,780575
0,10,0,{REDACTED-ESPN-MEMBER-ID},10,3139477,1,10,9,2021,780575
0,11,2,{REDACTED-ESPN-MEMBER-ID},11,3051392,1,11,6,2021,780575
0,12,2,{REDACTED-ESPN-MEMBER-ID},12,4360294,1,12,14,2021,780575
0,13,4,{REDACTED-ESPN-MEMBER-ID},13,3116406,2,1,14,2021,780575
0,14,4,{REDACTED-ESPN-MEMBER-ID},14,3925357,2,2,6,2021,780575
0,15,2,{REDACTED-ESPN-MEMBER-ID},15,3042519,2,3,9,2021,780575
0,16,2,{REDACTED-ESPN-MEMBER-ID},16,4242335,2,4,12,2021,780575
3,17,2,,17,4241457,2,5,11,2021,780575
0,18,4,{REDACTED-ESPN-MEMBER-ID},18,4047650,2,6,15,2021,780575
3,19,2,,19,3068267,2,7,8,2021,780575
2,20,4,,20,15795,2,8,10,2021,780575
0,21,4,{REDACTED-ESPN-MEMBER-ID},21,4047646,2,9,13,2021,780575
0,22,2,{REDACTED-ESPN-MEMBER-ID},22,4045163,2,10,4,2021,780575
0,23,2,{REDACTED-ESPN-MEMBER-ID},23,4242214,2,11,1,2021,780575
0,24,4,{REDACTED-ESPN-MEMBER-ID},24,16737,2,12,3,2021,780575
0,25,6,{REDACTED-ESPN-MEMBER-ID},25,3040151,3,1,3,2021,780575
0,26,4,{REDACTED-ESPN-MEMBER-ID},26,15818,3,2,1,2021,780575
0,27,0,{REDACTED-ESPN-MEMBER-ID},27,2330,3,3,4,2021,780575
0,28,2,{REDACTED-ESPN-MEMBER-ID},28,4052042,3,4,13,2021,780575
0,29,2,{REDACTED-ESPN-MEMBER-ID},29,4047365,3,5,10,2021,780575
0,30,4,{REDACTED-ESPN-MEMBER-ID},30,4262921,3,6,8,2021,780575
0,31,2,{REDACTED-ESPN-MEMBER-ID},31,3059915,3,7,15,2021,780575
3,32,2,,32,3116385,3,8,11,2021,780575
0,33,2,{REDACTED-ESPN-MEMBER-ID},33,4035538,3,9,12,2021,780575
0,34,4,{REDACTED-ESPN-MEMBER-ID},34,16799,3,10,9,2021,780575
0,35,6,{REDACTED-ESPN-MEMBER-ID},35,2576925,3,11,6,2021,780575
0,36,4,{REDACTED-ESPN-MEMBER-ID},36,4241389,3,12,14,2021,780575
0,37,2,{REDACTED-ESPN-MEMBER-ID},37,3919596,4,1,14,2021,780575
0,38,2,{REDACTED-ESPN-MEMBER-ID},38,4361579,4,2,6,2021,780575
0,39,4,{REDACTED-ESPN-MEMBER-ID},39,2976499,4,3,9,2021,780575
0,40,4,{REDACTED-ESPN-MEMBER-ID},40,3121422,4,4,12,2021,780575
3,41,4,,41,16460,4,5,11,2021,780575
0,42,0,{REDACTED-ESPN-MEMBER-ID},42,3917315,4,6,15,2021,780575
0,43,4,{REDACTED-ESPN-MEMBER-ID},43,2577327,4,7,8,2021,780575
0,44,4,{REDACTED-ESPN-MEMBER-ID},44,4046692,4,8,10,2021,780575
0,45,4,{REDACTED-ESPN-MEMBER-ID},45,3116165,4,9,13,2021,780575
0,46,4,{REDACTED-ESPN-MEMBER-ID},46,3120348,4,10,4,2021,780575
0,47,4,{REDACTED-ESPN-MEMBER-ID},47,4241463,4,11,1,2021,780575
0,48,4,{REDACTED-ESPN-MEMBER-ID},48,2977187,4,12,3,2021,780575
0,49,0,{REDACTED-ESPN-MEMBER-ID},49,3918298,5,1,3,2021,780575
0,50,0,{REDACTED-ESPN-MEMBER-ID},50,4038941,5,2,1,2021,780575
0,51,4,{REDACTED-ESPN-MEMBER-ID},51,4241478,5,3,4,2021,780575
0,52,2,{REDACTED-ESPN-MEMBER-ID},52,3045147,5,4,13,2021,780575
0,53,0,{REDACTED-ESPN-MEMBER-ID},53,8439,5,5,10,2021,780575
0,54,20,{REDACTED-ESPN-MEMBER-ID},54,15880,5,6,8,2021,780575
3,55,6,,55,13229,5,7,15,2021,780575
3,56,6,,56,3116365,5,8,11,2021,780575
0,57,6,{REDACTED-ESPN-MEMBER-ID},57,4036133,5,9,12,2021,780575
0,58,2,{REDACTED-ESPN-MEMBER-ID},58,3051926,5,10,9,2021,780575
0,59,0,{REDACTED-ESPN-MEMBER-ID},59,3916387,5,11,6,2021,780575
0,60,6,{REDACTED-ESPN-MEMBER-ID},60,4360248,5,12,14,2021,780575
0,61,0,{REDACTED-ESPN-MEMBER-ID},61,2577417,6,1,14,2021,780575
0,62,4,{REDACTED-ESPN-MEMBER-ID},62,3915416,6,2,6,2021,780575
0,63,6,{REDACTED-ESPN-MEMBER-ID},63,16813,6,3,9,2021,780575
0,64,20,{REDACTED-ESPN-MEMBER-ID},64,3025433,6,4,12,2021,780575
3,65,20,,65,13982,6,5,11,2021,780575
0,66,4,{REDACTED-ESPN-MEMBER-ID},66,4239993,6,6,15,2021,780575
