autoDraftTypeId,id,lineupSlotId,overallPickNumber,player_id,roundId,roundPickNumber,team_id,year,league_id
1,1,4,1,4362628,1,1,12,2025,780575
0,2,2,2,4430807,1,2,6,2025,780575
0,3,2,3,3929630,1,3,15,2025,780575
0,4,2,4,4429795,1,4,8,2025,780575
2,5,4,5,4262921,1,5,16,2025,780575
0,6,2,6,4890973,1,6,1,2025,780575
3,7,4,7,4241389,1,7,13,2025,780575
0,8,0,8,3915511,1,8,10,2025,780575
0,9,2,9,4429160,1,9,4,2025,780575
0,10,2,10,3117251,1,10,14,2025,780575
3,11,0,11,4040715,1,11,11,2025,780575
0,12,4,12,4374302,1,12,3,2025,780575
0,13,2,13,4242335,1,13,17,2025,780575
1,14,4,14,4426515,1,14,9,2025,780575
1,15,4,15,4595348,2,1,9,2025,780575
0,16,0,16,3916387,2,2,17,2025,780575
0,17,4,17,4047646,2,3,3,2025,780575
3,18,4,18,4241478,2,4,11,2025,780575
0,19,4,19,4258173,2,5,14,2025,780575
0,20,4,20,16737,2,6,4,2025,780575
1,21,4,21,4432773,2,7,10,2025,780575
3,22,4,22,4426502,2,8,13,2025,780575
0,23,6,23,4432665,2,9,1,2025,780575
2,24,2,24,4047365,2,10,16,2025,780575
0,25,6,25,4361307,2,11,8,2025,780575
0,26,4,26,3116406,2,12,15,2025,780575
0,27,4,27,3121422,2,13,6,2025,780575
1,28,2,28,3043078,2,14,12,2025,780575
1,29,2,29,4596448,3,1,12,2025,780575
0,30,2,30,4430737,3,2,6,2025,780575
0,31,6,31,3040151,3,3,15,2025,780575
0,32,2,32,4362238,3,4,8,2025,780575
0,33,0,33,3918298,3,5,16,2025,780575
0,34,4,34,4612826,3,6,1,2025,780575
0,35,0,35,4426348,3,7,13,2025,780575
1,36,4,36,4239993,3,8,10,2025,780575
0,37,2,37,4567048,3,9,4,2025,780575
0,38,4,38,4430878,3,10,14,2025,780575
3,39,4,39,16800,3,11,11,2025,780575
0,40,2,40,4432710,3,12,3,2025,780575
0,41,4,41,4047650,3,13,17,2025,780575
1,42,2,42,4379399,3,14,9,2025,780575
1,43,23,43,4569618,4,1,9,2025,780575
0,44,2,44,3054850,4,2,17,2025,780575
0,45,6,45,4430027,4,3,3,2025,780575
3,46,2,46,4685382,4,4,11,2025,780575
0,47,2,47,4241416,4,5,14,2025,780575
0,48,4,48,4683062,4,6,4,2025,780575
1,49,2,49,3045147,4,7,10,2025,780575
0,50,2,50,3916148,4,8,13,2025,780575
0,51,4,51,4432708,4,9,1,2025,780575
0,52,2,52,4259545,4,10,16,2025,780575
0,53,4,53,3915416,4,11,8,2025,780575
0,54,0,54,3139477,4,12,15,2025,780575
0,55,4,55,3925357,4,13,6,2025,780575
1,56,4,56,4428331,4,14,12,2025,780575
1,57,23,57,4427366,5,1,12,2025,780575
0,58,6,58,4036133,5,2,6,2025,780575
0,59,4,59,4429615,5,3,15,2025,780575
0,60,4,60,4241463,5,4,8,2025,780575
0,61,23,61,4819231,5,5,16,2025,780575
