team_id,team_name,abbrev,division_id,division_name,wins,losses,ties,points_for,points_against,draft_projected_rank,final_standing,year
1,Stretchy Pups Elite,PUPS,0,McKendry Division,6,8,0,1536.0,1550.0,12,8,2025
3,South Bay Starr Power,SBSP,1,McDowell Division,7,7,0,1536.0,1480.0,13,7,2025
4,Mission Viejo Goat,PAUL,1,McDowell Division,6,8,0,1329.0,1438.0,11,10,2025
6,Husky Express,KRIS,1,McDowell Division,9,5,0,1564.0,1461.0,3,1,2025
8,Flying Eagles,EGL,0,McKendry Division,8,6,0,1426.0,1418.0,1,3,2025
9,Team Sprawl n Brawl,ROWE,0,McKendry Division,9,5,0,1537.0,1431.0,4,5,2025
10,Ambler Thighs,AMBL,0,McKendry Division,3,11,0,1125.0,1559.0,14,13,2025
11,B Mac,BB,0,McKendry Division,4,10,0,1235.0,1359.0,7,14,2025
12,GeraldPea's Football Team,GPFT,1,McDowell Division,6,8,0,1394.0,1425.0,2,9,2025
13,The Ralph Dudes,BRD,1,McDowell Division,5,9,0,1321.0,1443.0,8,12,2025
14,Luke's Cool Guys,LUKE,0,McKendry Division,12,2,0,1776.0,1219.0,9,2,2025
15,Mendes Army,ASTR,0,McKendry Division,9,5,0,1466.0,1430.0,5,4,2025
16,Deb’s Debsters,DEB,1,McDowell Division,5,9,0,1428.0,1553.0,6,11,2025
17,Joemomma,JFT,1,McDowell Division,9,5,0,1494.0,1401.0,10,6,2025
