,player_name,player_id,pro_team,projected_points,year,eligible_slots,proj_rushingAttempts,proj_rushingYards,proj_rushingTouchdowns,proj_rushing2PtConversions,proj_27,proj_28,proj_29,proj_30,proj_31,proj_33,proj_34,proj_rushing40PlusYardTD,proj_rushing50PlusYardTD,proj_rushing100To199YardGame,proj_rushing200PlusYardGame,proj_rushingYardsPerAttempt,proj_receivingYards,proj_receivingTouchdowns,proj_receiving2PtConversions,proj_receiving40PlusYardTD,proj_receiving50PlusYardTD,proj_47,proj_48,proj_49,proj_50,proj_51,proj_receivingReceptions,proj_receiving100To199YardGame,proj_receiving200PlusYardGame,proj_receivingTargets,proj_receivingYardsPerReception,proj_2PtConversions,proj_fumbleRecoveredForTD,proj_66,proj_67,proj_fumbles,proj_70,proj_71,proj_lostFumbles,proj_turnovers,proj_210,proj_211,proj_212,proj_passingAttempts,proj_passingCompletions,proj_passingIncompletions,proj_passingYards,proj_passingTouchdowns,proj_5,proj_6,proj_7,proj_8,proj_9,proj_10,proj_11,proj_12,proj_passing40PlusYardTD,proj_passing50PlusYardTD,proj_passing300To399YardGame,proj_passing400PlusYardGame,proj_passing2PtConversions,proj_passingInterceptions,proj_passingCompletionPercentage,proj_passingTimesSacked,proj_65,proj_69,proj_madeFieldGoalsFrom50Plus,proj_attemptedFieldGoalsFrom50Plus,proj_missedFieldGoalsFrom50Plus,proj_madeFieldGoalsFrom40To49,proj_attemptedFieldGoalsFrom40To49,proj_missedFieldGoalsFrom40To49,proj_madeFieldGoalsFromUnder40,proj_attemptedFieldGoalsFromUnder40,proj_missedFieldGoalsFromUnder40,proj_madeFieldGoals,proj_attemptedFieldGoals,proj_missedFieldGoals,proj_madeExtraPoints,proj_attemptedExtraPoints,proj_missedExtraPoints,proj_198,proj_199,proj_200,proj_214,proj_215,proj_216,proj_defensive0PointsAllowed,proj_defensive1To6PointsAllowed,proj_defensive7To13PointsAllowed,proj_defensive14To17PointsAllowed,proj_defensiveBlockedKickForTouchdowns,proj_defensiveTouchdowns,proj_defensiveInterceptions,proj_defensiveFumbles,proj_defensiveBlockedKicks,proj_defensiveSafeties,proj_defensiveSacks,proj_100,proj_kickoffReturnTouchdowns,proj_puntReturnTouchdowns,proj_interceptionReturnTouchdowns,proj_fumbleReturnTouchdowns,proj_defensivePlusSpecialTeamsTouchdowns,proj_defensiveForcedFumbles,proj_defensiveTotalTackles,proj_110,proj_111,proj_112,proj_defensivePassesDefensed,proj_kickoffReturnYards,proj_puntReturnYards,proj_116,proj_117,proj_puntsReturned,proj_119,proj_defensivePointsAllowed,proj_defensive18To21PointsAllowed,proj_defensive22To27PointsAllowed,proj_defensive28To34PointsAllowed,proj_defensive35To45PointsAllowed,proj_defensive45PlusPointsAllowed,proj_126,proj_defensiveYardsAllowed,proj_defensive100To199YardsAllowed,proj_defensive200To299YardsAllowed,proj_defensive300To349YardsAllowed,proj_defensive350To399YardsAllowed,proj_defensive400To449YardsAllowed,proj_defensive450To499YardsAllowed,proj_defensive500To549YardsAllowed,proj_defensive550PlusYardsAllowed,proj_137,proj_defensiveAssistedTackles,proj_defensiveSoloTackles
412,Devontez Walker,4696882,BAL,34.48,2026,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,9.790773866,1.175598464,0.038746584,0.288001993,0.188209303,33.0,16.0,8.0,6.0,3.0,11.57879316,0.063389015,0.001960485,18.65737804,14.37482762,0.038746584,0.000928486,,0.21101964,0.21101964,,0.118170999,0.118170999,0.118170999,17.0,,6.560048573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Luke Schoonmaker,4372096,DAL,27.72,2026,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,6.483102893,0.892643091,0.031926789,0.078978121,0.051612202,22.0,11.0,5.0,4.0,2.0,11.4222085,0.046526132,0.001438953,16.96095427,9.648987687,0.031926789,0.000491676,,0.111744436,0.111744436,,0.062576884,0.062576884,0.062576884,17.0,,4.858038825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Quinn Ewers,4889929,MIA,6.74,2026,"['QB', 'OP', 'BE', 'IR']",0.976120074,0.235905828,0.019792771,0.000751187,,,,,,,,0.001791063,0.001253744,1.19e-05,4.05e-07,4.108509987,,,,,,,,,,,,,,,,0.029245338,0.002202527,0.019522401,,0.500574397,0.008980305,,0.239885262,0.845100348,17.0,2.281460113,,22.37206433,14.05435295,8.317711381,8.993536681,0.560913623,30.0,15.0,7.0,6.0,3.0,1.0,2.0,1.0,0.087106374,0.056924016,0.226994539,0.03066101,0.028494151,0.605215085,0.628209929,1.680535442,0.481051995,0.230904958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,JuJu Smith-Schuster,3120348,NYG,0.91,2026,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,6.411926357,0.038047092,0.002023493,0.006509935,0.004254242,1.0,,,,,0.691701558,0.002715391,8.4e-05,0.905506825,9.269787362,0.002023493,5.29e-05,,0.01201669,0.01201669,,0.006729346,0.006729346,0.006729346,1.0,,0.282405413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Jerome Ford,4372019,WSH,0.0,2026,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Roman Wilson,4431492,PIT,0.0,2026,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Zach Ertz,15835,None,0.0,2026,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Tyson Bagent,4434153,CHI,9.27,2026,"['QB', 'OP', 'BE', 'IR']",1.50702106,0.348102031,0.075908953,0.004483985,1.0,,,,,,,0.002766001,0.001936201,4.67e-05,1.59e-06,3.926776261,,,,,,,,,,,,,,,,0.074498311,0.001734126,0.023779531,,0.39411962,0.010938584,,0.188701827,0.736634173,17.0,2.419950549,,22.05913629,14.22569046,7.833445835,9.176549918,1.033130158,31.0,15.0,7.0,6.0,3.0,1.0,2.0,1.0,0.087558521,0.057219494,0.231189268,0.031227608,0.070014326,0.547932346,0.644888824,1.411062439,0.37034009,0.177763243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,CJ Daniels,4605951,LAR,9.33,2026,"['Rookie', 'RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,2.51828719,0.33920423,0.004621406,0.154121193,0.1007182,8.0,4.0,2.0,1.0,,3.352045839,0.022320931,0.000690338,5.62169879,12.77156826,0.004621406,0.000268796,,0.061089917,0.061089917,,0.034210353,0.034210353,0.034210353,17.0,,0.93359372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Spencer Shrader,4571557,IND,0.0,2026,"['K', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
