,player_name,player_id,pro_team,projected_points,year,eligible_slots,proj_defensive0PointsAllowed,proj_defensive1To6PointsAllowed,proj_defensive7To13PointsAllowed,proj_defensive14To17PointsAllowed,proj_defensiveBlockedKickForTouchdowns,proj_defensiveTouchdowns,proj_defensiveInterceptions,proj_defensiveFumbles,proj_defensiveBlockedKicks,proj_defensiveSafeties,proj_defensiveSacks,proj_100,proj_kickoffReturnTouchdowns,proj_puntReturnTouchdowns,proj_interceptionReturnTouchdowns,proj_fumbleReturnTouchdowns,proj_defensivePlusSpecialTeamsTouchdowns,proj_defensiveForcedFumbles,proj_defensiveTotalTackles,proj_110,proj_111,proj_112,proj_defensivePassesDefensed,proj_kickoffReturnYards,proj_puntReturnYards,proj_116,proj_117,proj_puntsReturned,proj_defensivePointsAllowed,proj_defensive18To21PointsAllowed,proj_defensive22To27PointsAllowed,proj_defensive28To34PointsAllowed,proj_defensive35To45PointsAllowed,proj_defensive45PlusPointsAllowed,proj_126,proj_defensiveYardsAllowed,proj_defensive100To199YardsAllowed,proj_defensive200To299YardsAllowed,proj_defensive300To349YardsAllowed,proj_defensive350To399YardsAllowed,proj_defensive400To449YardsAllowed,proj_defensive450To499YardsAllowed,proj_defensive500To549YardsAllowed,proj_defensive550PlusYardsAllowed,proj_137,proj_210,proj_madeFieldGoalsFrom50Plus,proj_attemptedFieldGoalsFrom50Plus,proj_missedFieldGoalsFrom50Plus,proj_madeFieldGoalsFrom40To49,proj_attemptedFieldGoalsFrom40To49,proj_missedFieldGoalsFrom40To49,proj_madeFieldGoalsFromUnder40,proj_attemptedFieldGoalsFromUnder40,proj_missedFieldGoalsFromUnder40,proj_madeFieldGoals,proj_attemptedFieldGoals,proj_missedFieldGoals,proj_madeExtraPoints,proj_attemptedExtraPoints,proj_missedExtraPoints,proj_198,proj_199,proj_200,proj_214,proj_215,proj_216,proj_rushingAttempts,proj_rushingYards,proj_rushingTouchdowns,proj_rushing2PtConversions,proj_rushing40PlusYardTD,proj_rushing50PlusYardTD,proj_rushing100To199YardGame,proj_rushing200PlusYardGame,proj_rushingYardsPerAttempt,proj_receivingYards,proj_receivingTouchdowns,proj_receiving2PtConversions,proj_receiving40PlusYardTD,proj_receiving50PlusYardTD,proj_47,proj_48,proj_receivingReceptions,proj_receiving100To199YardGame,proj_receiving200PlusYardGame,proj_receivingTargets,proj_receivingYardsPerReception,proj_2PtConversions,proj_fumbleRecoveredForTD,proj_66,proj_67,proj_fumbles,proj_70,proj_71,proj_lostFumbles,proj_turnovers,proj_212,proj_213,proj_27,proj_28,proj_29,proj_30,proj_33,proj_34,proj_49,proj_50,proj_119,proj_passingAttempts,proj_passingCompletions,proj_passingIncompletions,proj_passingYards,proj_passingTouchdowns,proj_5,proj_6,proj_7,proj_8,proj_9,proj_10,proj_11,proj_12,proj_passing40PlusYardTD,proj_passing50PlusYardTD,proj_passing300To399YardGame,proj_passing400PlusYardGame,proj_passing2PtConversions,proj_passingInterceptions,proj_passingCompletionPercentage,proj_passingTimesSacked,proj_65,proj_69,proj_211
10,David Njoku,3123076,CLE,175.4,2025,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Eddy Pineiro,4034949,SF,0.0,2025,"['K', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.298130554,0.412071886,0.113941332,0.439304412,0.532818532,0.09351412,0.962005776,0.971723006,0.00971723,1.699440741,1.916613423,0.217172682,2.925338868,2.985039661,0.059700793,0.298130554,0.412071886,0.113941332,64.72792172,10.65248422,75.38040594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Chargers D/ST,-16024,LAC,82.0,2025,"['D/ST', 'BE', 'IR']",0.014411529,0.065052042,0.221176942,0.192153723,0.0063,0.100110758,0.680761859,0.497531118,0.102261421,0.0131,2.293390641,4.586781282,0.021336055,0.010652091,0.067710475,0.032400284,0.138399301,0.765432489,59.55346577,19.0,11.0,3.184279568,4.91498011,77.76758108,16.76394572,7.0,3.0,1.0,19.00891339,0.145116093,0.192153723,0.121096878,0.044035228,0.004803843,19.00891339,317.9281393,0.032524393,0.270202652,0.232674506,0.225168877,0.142606955,0.065048787,0.025018764,0.006755066,317.9281393,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,J.K. Dobbins,4241985,DEN,169.61,2025,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Zach Ertz,15835,WSH,141.37,2025,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Trey Benson,4429275,ARI,126.78,2025,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Matthew Golden,4701936,GB,203.11,2025,"['Rookie', 'RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.417045197,2.36538126,0.013189292,0.000437789,0.000767772,0.00053744,0.000228,7.78e-06,5.671762388,11.55297285,0.067289311,0.002354158,0.015016389,0.00981321,2.0,1.0,0.896727356,0.0043112,0.000133,1.334084115,12.88348434,0.002791947,0.000107,0.007716891,0.0165928,0.024309691,0.00354977,0.009291968,0.012841738,0.012841738,0.236919073,0.482865052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Devin Singletary,4040761,NYG,18.93,2025,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,0.006118755,,,,,,,,,,,22.22074211,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,12.80441445,47.75079266,0.390601214,0.014985626,0.026263068,0.018384148,0.0997,0.0034,3.729244538,8.012227309,0.044326601,0.002304029,0.002104728,0.00137544,1.0,,1.235705935,0.003193263,9.88e-05,1.530540044,6.483927187,0.017289656,0.000468,0.096981088,0.00935928,0.106340368,0.0446113,0.005241197,0.049852498,0.049852498,2.803305484,0.453099763,9.0,4.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Dylan Sampson,5081397,CLE,198.81,2025,"['Rookie', 'RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,0.006926543,,,,,,,,,,,25.15428632,,2.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,11.20366307,45.65339682,0.217051612,0.014947555,0.022675572,0.015872901,0.0911,0.00311,4.074863421,17.3675304,0.106952511,0.008321191,0.002812089,0.0018377,3.0,1.0,2.385390759,0.007184271,0.000222,2.996348982,7.280790512,0.023268746,0.000582,0.109123503,0.023233669,0.132357172,0.050196811,0.013010854,0.063207666,0.063207666,2.505853946,0.998742124,9.0,4.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,J.J. McCarthy,4433970,MIN,281.74,2025,"['QB', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
