player_id,player_name,position,avg_points,overallPickNumber,lineupSlotId,roundPickNumber,roundId,vorp
15847,Travis Kelce,TE,11.81,19,6,5,2,1.14
4040655,Darnell Mooney,BE,11.56,146,20,6,11,1.13
4038815,Rico Dowdle,RB,11.56,155,20,1,12,1.13
4361370,Chris Olave,BE,9.12,34,4,6,3,0.84
4032473,Rashid Shaheed,,11.0,157,20,3,12,0.57
4362887,Justin Fields,,10.9,223,20,13,16,0.47
3953687,Brandon Aubrey,K,10.88,127,17,1,10,0.45
4241474,Brian Robinson Jr.,RB,10.71,80,20,10,6,0.28
2976499,Amari Cooper,BE,8.43,77,4,7,6,0.15
4360438,Brandon Aiyuk,BE,8.29,44,23,2,4,0.01
3116365,Mark Andrews,TE,10.65,48,6,6,4,-0.02
4427095,DeMario Douglas,,8.24,122,4,10,9,-0.04
4362081,Cameron Dicker,K,10.35,174,17,6,13,-0.08
4430027,Sam LaPorta,TE,10.44,42,6,14,3,-0.23
4426385,Zach Charbonnet,BE,10.18,138,20,12,10,-0.25
3122840,Deshaun Watson,,10.14,121,20,9,9,-0.29
4239996,Travis Etienne Jr.,RB,7.93,27,2,13,2,-0.35
4360516,Tyrone Tracy Jr.,RB,9.82,190,20,8,14,-0.61
2971573,Ka'imi Fairbairn,,9.76,152,17,12,11,-0.67
4361432,Romeo Doubs,RB/WR/TE,9.69,184,20,2,14,-0.74
3128720,Nick Chubb,,7.5,88,23,4,7,-0.78
4361529,Isiah Pacheco,RB,7.43,8,2,8,1,-0.85
4569987,Jaylen Warren,BE,7.4,95,2,11,7,-0.88
3124679,Jason Sanders,K,9.53,195,17,13,14,-0.9
4366031,Tank Dell,BE,9.5,74,20,4,6,-0.93
3051876,Evan Engram,BE,9.56,60,6,4,5,-1.11
4689936,Jake Bates,K,9.29,205,17,9,15,-1.14
4035676,Zack Moss,,9.25,114,20,2,9,-1.18
4361418,Will Levis,BE,9.25,211,20,1,16,-1.18
3932905,Diontae Johnson,RB/WR/TE,7.0,93,23,9,7,-1.28
4361411,Pat Freiermuth,BE,9.35,142,6,2,11,-1.32
4048244,Alexander Mattison,BE,9.07,220,20,10,16,-1.36
4372019,Jerome Ford,BE,8.71,132,20,6,10,-1.72
15795,DeAndre Hopkins,BE,8.69,100,20,2,8,-1.74
4428557,Tyjae Spears,BE,8.67,101,20,3,8,-1.76
4249417,Jalen Tolbert,WR,8.65,188,20,6,14,-1.78
3046439,Hunter Henry,TE,8.62,161,20,7,12,-1.81
4241372,Hollywood Brown,BE,8.5,123,20,11,9,-1.93
4361579,Javonte Williams,BE,8.47,102,20,4,8,-1.96
3895856,Christian Kirk,,8.38,96,20,12,7,-2.05
4249087,Matt Gay,,8.31,181,17,13,13,-2.12
3917232,Tyler Bass,K,8.29,112,17,14,8,-2.14
4635008,Keon Coleman,RB/WR/TE,8.15,111,20,13,8,-2.28
4431299,Rome Odunze,BE,8.12,135,20,9,10,-2.31
4428209,Ricky Pearsall,,8.0,221,20,11,16,-2.43
15683,Justin Tucker,K,7.94,105,17,7,8,-2.49
3049899,Younghoe Koo,K,7.93,173,17,5,13,-2.5
4036133,T.J. Hockenson,TE,8.1,108,6,10,8,-2.57
3050478,Jake Elliott,K,7.82,109,17,11,8,-2.61
4372066,Jake Moody,,7.71,159,17,5,12,-2.72
-16023,Steelers D/ST,BE,7.65,156,16,2,12,-2.78
3055899,Harrison Butker,,7.38,166,17,12,12,-3.05
4360234,Evan McPherson,,7.33,162,17,8,12,-3.1
4430034,Xavier Legette,,7.31,175,20,7,13,-3.12
4385690,Dalton Kincaid,RB/WR/TE,7.46,64,6,8,5,-3.21
3915486,Tyler Conklin,BE,7.19,136,20,10,10,-3.24
4686472,Marvin Mims Jr.,WR,7.12,185,20,3,14,-3.31
4036131,Noah Fant,,7.07,186,20,4,14,-3.36
4360248,Kyle Pitts,TE,7.29,73,6,3,6,-3.38
2576414,Raheem Mostert,RB,4.85,92,23,8,7,-3.43
-16021,Eagles D/ST,D/ST,7.0,140,16,14,10,-3.43
4242355,Jake Ferguson,BE,7.14,97,6,13,7,-3.53
-16024,Chargers D/ST,D/ST,6.88,171,16,3,13,-3.55
3043116,Demarcus Robinson,WR,6.88,187,20,5,14,-3.55
-16002,Bills D/ST,BE,6.82,131,16,5,10,-3.61
4242433,Joshua Palmer,,6.73,196,20,14,14,-3.7
2577327,Tyler Lockett,BE,6.65,128,20,2,10,-3.78
4248528,Christian Watson,BE,6.6,115,20,3,9,-3.83
3117256,Dalton Schultz,TE,6.59,117,20,5,9,-3.84
4368003,Andrei Iosivas,,6.59,218,20,8,16,-3.84
4045163,Miles Sanders,,6.55,165,20,11,12,-3.88
16731,Brandin Cooks,BE,6.5,172,20,4,13,-3.93
4258595,Cole Kmet,TE,6.71,90,6,6,7,-3.96
3121427,Curtis Samuel,,4.14,94,4,10,7,-4.14
4429501,Ray Davis,,6.24,193,20,11,14,-4.19
-16008,Lions D/ST,BE,6.18,164,16,10,12,-4.25
4360635,Chig Okonkwo,,6.18,206,20,10,15,-4.25
17427,Cairo Santos,,6.18,215,20,5,16,-4.25
4428850,Dontayvion Wicks,,6.12,183,20,1,14,-4.31
-16033,Ravens D/ST,D/ST,5.94,133,16,7,10,-4.49
-16003,Bears D/ST,BE,5.94,216,16,6,16,-4.49
4040761,Devin Singletary,RB,5.8,125,20,13,9,-4.63
4373626,Tyler Allgeier,BE,5.65,144,20,4,11,-4.78
3051738,Marquez Valdes-Scantling,BE,5.64,224,20,14,16,-4.79
-16012,Chiefs D/ST,D/ST,5.47,170,16,2,13,-4.96
4361777,Zamir White,BE,3.25,62,2,6,5,-5.03
4360294,Antonio Gibson,,5.29,141,20,1,11,-5.14
4722893,Jaleel McLaughlin,BE,5.25,163,20,9,12,-5.18
3051926,Gus Edwards,BE,5.18,149,20,9,11,-5.25
4243537,Gabe Davis,,5.0,178,20,10,13,-5.43
3045523,Kendrick Bourne,,5.0,204,20,8,15,-5.43
-16018,Saints D/ST,D/ST,4.88,158,16,4,12,-5.55
4240021,Cam Akers,BE,4.82,197,20,1,15,-5.61
-16006,Cowboys D/ST,BE,4.76,134,16,8,10,-5.67
-16004,Bengals D/ST,D/ST,4.71,191,16,9,14,-5.72
15965,Dustin Hopkins,,4.69,222,20,12,16,-5.74
4242214,Clyde Edwards-Helaire,,4.5,199,20,3,15,-5.93
14993,Greg Zuerlein,,4.38,179,17,11,13,-6.05
-16020,Jets D/ST,,4.18,137,16,11,10,-6.25
4685247,Braelon Allen,BE,4.18,182,20,14,13,-6.25
4599739,Kendre Miller,BE,4.17,160,20,6,12,-6.26
4678008,Jonathon Brooks,RB,2.0,68,2,12,5,-6.28
-16015,Dolphins D/ST,D/ST,3.88,200,20,4,15,-6.55
-16005,Browns D/ST,BE,3.41,126,16,14,9,-7.02
-16025,49ers D/ST,D/ST,3.24,129,16,3,10,-7.19
3051392,Ezekiel Elliott,RB,3.13,106,20,8,8,-7.3
4429275,Trey Benson,,3.08,143,20,3,11,-7.35
4597500,Adonai Mitchell,BE,2.88,177,20,9,13,-7.55
3045138,Mike Williams,,2.83,148,20,8,11,-7.6
4430968,Kimani Vidal,,2.8,210,20,14,15,-7.63
-16030,Jaguars D/ST,,2.29,209,20,13,15,-8.14
4361409,Jahan Dotson,,2.12,201,20,5,15,-8.31
4429023,MarShawn Lloyd,,2.0,167,20,13,12,-8.43
4430637,Ja'Lynn Polk,,2.0,217,20,7,16,-8.43
4035886,Khalil Herbert,,1.86,198,20,2,15,-8.57
4429096,Blake Corum,,1.47,130,20,4,10,-8.96
4682745,Jaylen Wright,,1.33,180,20,12,13,-9.1
3924365,Hayden Hurst,,1.33,219,20,9,16,-9.1
4242431,Ty Chandler,,1.29,168,20,14,12,-9.14
4596334,Keaton Mitchell,,1.2,212,20,2,16,-9.23
4431545,Will Shipley,,0.88,194,20,12,14,-9.55
4690923,Ben Sinnott,,0.71,203,20,7,15,-9.72
4241555,Elijah Mitchell,,0.0,192,20,10,14,-10.43
