playerId,autoDraftTypeId,id,lineupSlotId,memberId,overallPickNumber,roundId,roundPickNumber,teamId
4430968,0,210,20,{REDACTED-ESPN-MEMBER-ID},210,15,14,13
4361418,0,211,20,{REDACTED-ESPN-MEMBER-ID},211,16,1,13
4596334,3,212,20,,212,16,2,15
14881,3,213,0,,213,16,3,9
4426338,1,214,20,,214,16,4,12
17427,0,215,20,{REDACTED-ESPN-MEMBER-ID},215,16,5,17
-16003,0,216,16,{REDACTED-ESPN-MEMBER-ID},216,16,6,11
4430637,1,217,20,,217,16,7,16
4368003,0,218,20,{REDACTED-ESPN-MEMBER-ID},218,16,8,6
3924365,0,219,20,{REDACTED-ESPN-MEMBER-ID},219,16,9,10
4048244,3,220,20,,220,16,10,8
4428209,1,221,20,,221,16,11,4
15965,1,222,20,,222,16,12,1
4362887,0,223,20,{REDACTED-ESPN-MEMBER-ID},223,16,13,14
3051738,0,224,20,{REDACTED-ESPN-MEMBER-ID},224,16,14,3
