autoDraftTypeId,id,lineupSlotId,overallPickNumber,player_id,roundId,roundPickNumber,team_id,year,league_id
0,1,2,1,3117251,1,1,9,2022,780575
2,2,2,2,4242335,1,2,8,2022,780575
0,3,4,3,4262921,1,3,1,2022,780575
3,4,2,4,3043078,1,4,12,2022,780575
3,5,4,5,2977187,1,5,11,2022,780575
0,6,2,6,3068267,1,6,4,2022,780575
0,7,4,7,4362628,1,7,15,2022,780575
3,8,2,8,4241457,1,8,13,2022,780575
0,9,2,9,3116593,1,9,6,2022,780575
0,10,2,10,3128720,1,10,10,2022,780575
0,11,4,11,3126486,1,11,14,2022,780575
0,12,2,12,3116385,1,12,3,2022,780575
0,13,4,13,2976212,2,1,3,2022,780575
0,14,4,14,16800,2,2,14,2022,780575
0,15,4,15,3116406,2,3,10,2022,780575
0,16,6,16,15847,2,4,6,2022,780575
0,17,4,17,4047646,2,5,13,2022,780575
0,18,4,18,4241389,2,6,15,2022,780575
0,19,4,19,16737,2,7,4,2022,780575
3,20,2,20,3054850,2,8,11,2022,780575
3,21,2,21,3115364,2,9,12,2022,780575
0,22,2,22,4361579,2,10,1,2022,780575
0,23,2,23,3045147,2,11,8,2022,780575
0,24,2,24,4259545,2,12,9,2022,780575
0,25,4,25,3045138,3,1,9,2022,780575
0,26,6,26,3116365,3,2,8,2022,780575
0,27,6,27,4360248,3,3,1,2022,780575
3,28,4,28,4239993,3,4,12,2022,780575
3,29,4,29,3915416,3,5,11,2022,780575
0,30,0,30,3918298,3,6,4,2022,780575
0,31,2,31,3929630,3,7,15,2022,780575
2,32,4,32,15818,3,8,13,2022,780575
0,33,4,33,4035687,3,9,6,2022,780575
0,34,0,34,3139477,3,10,10,2022,780575
0,35,2,35,3042519,3,11,14,2022,780575
0,36,0,36,12483,3,12,3,2022,780575
0,37,2,37,4047365,4,1,3,2022,780575
0,38,2,38,4035538,4,2,14,2022,780575
0,39,4,39,4047650,4,3,10,2022,780575
0,40,0,40,3916387,4,4,6,2022,780575
2,41,2,41,4240021,4,5,13,2022,780575
0,42,0,42,4038941,4,6,15,2022,780575
0,43,2,43,3051392,4,7,4,2022,780575
0,44,20,44,3128429,4,8,11,2022,780575
3,45,4,45,3121422,4,9,12,2022,780575
0,46,0,46,4040715,4,10,1,2022,780575
0,47,4,47,4372016,4,11,8,2022,780575
0,48,4,48,4241463,4,12,9,2022,780575
0,49,6,49,3040151,5,1,9,2022,780575
0,50,4,50,4241372,5,2,8,2022,780575
0,51,2,51,4239996,5,3,1,2022,780575
